Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
2blobs_spray,Quantization,Agglomerative,Complete,0.1,0.7071 (0.02)
2blobs_spray,Quantization,MultiMember,Average,0.1,0.7462 (0.01)
2blobs_spray,Quantization,MultiMember,Single,0.1,0.7154 (0.01)
2blobs_spray,Quantization,MultiMember,Complete,0.1,0.6829 (0.02)
2blobs_spray,Quantization,K-Means,Average,0.15,0.7661 (0.04)
2blobs_spray,Quantization,K-Means,Single,0.15,0.7037 (0.02)
2blobs_spray,Quantization,K-Means,Complete,0.15,0.6696 (0.04)
2blobs_spray,Quantization,Agglomerative,Average,0.15,0.7272 (0.07)
2blobs_spray,Quantization,Agglomerative,Single,0.15,0.594 (0.05)
2blobs_spray,Quantization,Agglomerative,Complete,0.15,0.7278 (0.03)
2blobs_spray,Quantization,MultiMember,Average,0.15,0.7131 (0.05)
2blobs_spray,Quantization,MultiMember,Single,0.15,0.7195 (0.0)
2blobs_spray,Quantization,MultiMember,Complete,0.15,0.6799 (0.03)
2blobs_spray,Quantization,K-Means,Average,0.25,0.7614 (0.02)
2blobs_spray,Quantization,K-Means,Single,0.25,0.7347 (0.05)
2blobs_spray,Quantization,K-Means,Complete,0.25,0.6634 (0.02)
2blobs_spray,Quantization,Agglomerative,Average,0.25,0.6262 (0.05)
2blobs_spray,Quantization,Agglomerative,Single,0.25,0.4665 (0.19)
2blobs_spray,Quantization,Agglomerative,Complete,0.25,0.6703 (0.04)
2blobs_spray,Quantization,MultiMember,Average,0.25,0.6953 (0.03)
2blobs_spray,Quantization,MultiMember,Single,0.25,0.7073 (0.0)
2blobs_spray,Quantization,MultiMember,Complete,0.25,0.6779 (0.07)
3blobs,Gaussian,K-Means,Average,0,0.9626 (0.01)
3blobs,Gaussian,K-Means,Single,0,0.9064 (0.1)
3blobs,Gaussian,K-Means,Complete,0,0.9406 (0.04)
3blobs,Gaussian,Agglomerative,Average,0,0.9692 (0.01)
3blobs,Gaussian,Agglomerative,Single,0,0.9291 (0.1)
3blobs,Gaussian,Agglomerative,Complete,0,0.8892 (0.11)
3blobs,Gaussian,MultiMember,Average,0,0.9703 (0.01)
3blobs,Gaussian,MultiMember,Single,0,0.8674 (0.12)
3blobs,Gaussian,MultiMember,Complete,0,0.8996 (0.09)
3blobs,Gaussian,K-Means,Average,0.02,0.9102 (0.01)
3blobs,Gaussian,K-Means,Single,0.02,0.7192 (0.1)
3blobs,Gaussian,K-Means,Complete,0.02,0.86 (0.09)
3blobs,Gaussian,Agglomerative,Average,0.02,0.9158 (0.02)
3blobs,Gaussian,Agglomerative,Single,0.02,0.8669 (0.1)
3blobs,Gaussian,Agglomerative,Complete,0.02,0.8568 (0.12)
3blobs,Gaussian,MultiMember,Average,0.02,0.9242 (0.01)
3blobs,Gaussian,MultiMember,Single,0.02,0.8259 (0.12)
3blobs,Gaussian,MultiMember,Complete,0.02,0.7858 (0.13)
3blobs,Gaussian,K-Means,Average,0.05,0.8136 (0.02)
3blobs,Gaussian,K-Means,Single,0.05,0.6532 (0.09)
3blobs,Gaussian,K-Means,Complete,0.05,0.6332 (0.08)
3blobs,Gaussian,Agglomerative,Average,0.05,0.7534 (0.05)
3blobs,Gaussian,Agglomerative,Single,0.05,0.7565 (0.01)
3blobs,Gaussian,Agglomerative,Complete,0.05,0.6039 (0.1)
3blobs,Gaussian,MultiMember,Average,0.05,0.7813 (0.02)
3blobs,Gaussian,MultiMember,Single,0.05,0.6388 (0.06)
3blobs,Gaussian,MultiMember,Complete,0.05,0.5759 (0.12)
3blobs,Gaussian,K-Means,Average,0.1,0.673 (0.08)
3blobs,Gaussian,K-Means,Single,0.1,0.5558 (0.08)
3blobs,Gaussian,K-Means,Complete,0.1,0.586 (0.09)
3blobs,Gaussian,Agglomerative,Average,0.1,0.6177 (0.09)
3blobs,Gaussian,Agglomerative,Single,0.1,0.6289 (0.07)
