Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
2blobs_spray,Uniform,MultiMember,Complete,0.15,0.4237 (0.05)
2blobs_spray,Uniform,K-Means,Average,0.25,0.3149 (0.01)
2blobs_spray,Uniform,K-Means,Single,0.25,0.0826 (0.13)
2blobs_spray,Uniform,K-Means,Complete,0.25,0.3111 (0.03)
2blobs_spray,Uniform,Agglomerative,Average,0.25,0.1554 (0.13)
2blobs_spray,Uniform,Agglomerative,Single,0.25,0.2806 (0.14)
2blobs_spray,Uniform,Agglomerative,Complete,0.25,0.1468 (0.09)
2blobs_spray,Uniform,MultiMember,Average,0.25,0.2974 (0.03)
2blobs_spray,Uniform,MultiMember,Single,0.25,0.0695 (0.12)
2blobs_spray,Uniform,MultiMember,Complete,0.25,0.2242 (0.11)
2blobs_spray,Quantization,K-Means,Average,0,0.6718 (0.04)
2blobs_spray,Quantization,K-Means,Single,0,0.7234 (0.0)
2blobs_spray,Quantization,K-Means,Complete,0,0.6072 (0.03)
2blobs_spray,Quantization,Agglomerative,Average,0,0.7377 (0.02)
2blobs_spray,Quantization,Agglomerative,Single,0,0.7195 (0.0)
2blobs_spray,Quantization,Agglomerative,Complete,0,0.7119 (0.05)
2blobs_spray,Quantization,MultiMember,Average,0,0.7581 (0.06)
2blobs_spray,Quantization,MultiMember,Single,0,0.7259 (0.0)
2blobs_spray,Quantization,MultiMember,Complete,0,0.6915 (0.02)
2blobs_spray,Quantization,K-Means,Average,0.02,0.6564 (0.04)
2blobs_spray,Quantization,K-Means,Single,0.02,0.5976 (0.29)
2blobs_spray,Quantization,K-Means,Complete,0.02,0.6151 (0.03)
2blobs_spray,Quantization,Agglomerative,Average,0.02,0.703 (0.09)
2blobs_spray,Quantization,Agglomerative,Single,0.02,0.7645 (0.06)
2blobs_spray,Quantization,Agglomerative,Complete,0.02,0.7397 (0.09)
2blobs_spray,Quantization,MultiMember,Average,0.02,0.7016 (0.07)
2blobs_spray,Quantization,MultiMember,Single,0.02,0.721 (0.01)
2blobs_spray,Quantization,MultiMember,Complete,0.02,0.6433 (0.05)
2blobs_spray,Quantization,K-Means,Average,0.05,0.6789 (0.04)
2blobs_spray,Quantization,K-Means,Single,0.05,0.5635 (0.27)
